,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Restaurant Delivery Time,Restaurant Distance,Discount,Promo,Images
267,Tip Top Curry Puff - One Raffles Place,"Drinks & Beverages, Snack, Noodles, Group Friendly",4.6,30 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYMFLRLTRA2WGX/hero/7ca437943d314686829e8c8ec63794a7_1566539714117798953.webp
268,Joah Korean Restaurant - One Raffles Place,"Frozen Food, Korean",4.6,30 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2TWVLLTCK2BGX/hero/261e237dc5a44b86a53da9773b5c6a2b_1621419170538765594.webp
269,Greendot - Raffles Place,"Healthy, Noodles, Vegan",4.4,30 mins,1.5 km,Free Delivery (Min. spend S$30) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/SGDD05316/hero/Green_Dot_Hero_16x9.webp
270,The Soup Spoon - Raffles Xchange,"Soup, Western, Vegetarian Friendly, Healthy, Halal",4.4,30 mins,1.7 km,25% off storewide with GrabUnlimited. T&C apply.,True,https://food-cms.grab.com/compressed_webp/merchants/SGDD11568/hero/18984c57c2d4490a82ffcc6b57f05b04_1650441660190663374.webp
271,Twelve Cupcakes - One Raffles Place,"Mart, Snacks, Dessert",4.3,20 mins,1.2 km,Free Delivery (Min. spend S$35) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-CYN1J3LAAUTVHE/hero/66d3a2e826e6458b9326abfdd2af126c_1559875284825710990.webp
272,Upshot Coffee - One Raffles Place,"Coffee & Tea, Drinks & Beverages, Western",4.5,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3BUR2NCFEBJA6/hero/88f34e1214624067a15d4cf2224abe11_1654576081263504535.webp
273,Pasta E Formaggio - Collyer Quay Centre,Italian,3.7,25 mins,1.7 km,,True,https://food-cms.grab.com/compressed_webp/merchants/4-C2LCJP6XFFUTTT/hero/dd127d97e2a24d758f26acef8eb91d99_1614243794368869116.webp
274,Xiang Gua Li La - North Bridge Road,"Seafood, Chinese",,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C34TN7DGA6MBVN/hero/3d46e717908f41118cbd1f375bde8142_1675130463320082385.webp
275,Chop Kin Mee - 15 Philip Street,"Noodles, Thai",4.3,25 mins,2.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3EGDBAGC62BMA/hero/a970860b23954039851b01d96068602a_1651562244015542315.webp
276,Afuri - Funan,"Ramen, Noodles, Japanese",4.1,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZJBFCJZNUVWT2/hero/676a5043123641d88d215ba295c1fcf6_1590138933245474151.webp
