,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Restaurant Delivery Time,Restaurant Distance,Discount,Promo,Images
191,Bawarchi North Indian Cuisine - South Bridge Road,Indian,3.5,117 min,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C252FED2JKLKV6/hero/4f3b6e7f4ccf4f2db0512dd002d03998_1694151133920119369.webp
192,The Taste of Bharath - High Street Plaza,"Indian, Local & Malaysian",3.9,20 mins,0.5 km,,False,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYN1J3LDNLKDJA/hero/75r-24bits-100kb-d099d52307d903b9286c3d7e537cb8a51566c483f9aa2f0d83a0af5dda621582-af4734c72e9a497382715b50b57c328d_1564033147753612778.jpeg
193,Churros Republic - Funan Mall,"Dessert, Snack, Bakery & Pastries, Spanish, Drinks & Beverages",4.6,25 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2E2V3VCFF4GCX/hero/514d9998-aec8-45a0-bb27-8af95f4f766b__store_cover__2023__10__18__06__47__36.webp
194,Gong Yuan Ma La Tang - Funan,"Local & Malaysian, Chinese, Mala",4,25 mins,0.5 km,Free Delivery (Min. spend S$25) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-CZBXVFVUJF3GVX/hero/ce46b1eecd1f403c866e2ff5767e0daf_1587806595881405114.webp
195,A Gan Guo Kui - North Bridge Road,"Snack, Bakery, Chinese",4.4,25 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDVUF2VLKKFV2/hero/73914813c4544518a8d0614b9aa884fb_1587617704509762156.webp
196,Old Chang Kee - Funan,"Snack, Local & Malaysian, Halal, Group Friendly",4.7,25 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYVFL2CDN2UEJ2/hero/674b9d8fcca24766b247a31a5c90b953_1565669664238342611.webp
197,House of Seafood (MediterrAsian BBQ Bar) - The Riverwalk,"Local & Malaysian, Chinese, Seafood",3.9,30 mins,  1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2JFEXCJA74GEE/hero/21b3fa7a-dc41-4da3-82d2-8b8b42b4d98c__store_cover__2023__08__30__14__50__38.webp
198,Twyst Pasta - Raffles Place MRT Station,"Noodles, Fast Food, Italian, Bakery & Cake, Halal",4.6,30 mins,1.2 km,20% off storewide. 30% off with GrabUnlimited. T&C apply.,True,https://food-cms.grab.com/compressed_webp/merchants/4-C25ZKECUCZD3AN/hero/bdd7d200991249388572cc2878f133bd_1658974754474364551.webp
199,Godmama Modern Peranakan Kitchen - Funan Mall,"Local & Malaysian, Pasta, Dessert, Seafood",3.9,30 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDHLA3KV4J3DA/hero/44892187094b42d2b6b38693e31e8fe6_1591089016450622657.webp
200,Old Tea Hut - One Raffles Place,"Drinks & Beverages, Coffee & Tea, Bubble Tea",4.7,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZLGCZDUNFMVPA/hero/2b77ec0f139141c8b0e7ebbfe148533c_1596421651754399069.webp
201,Saap Saap Thai - Funan,"Thai, Noodles, Halal",4.4,25 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CYWCATD3GAWTRN/hero/166c5f439d6644799e151c6b9428c27b_1622858179850687444.webp
